,CARRIER,CARRIER_NAME,CNAME
1307,PVA,Precision Valley Aviation (1960 - 2002),Precision Valley Aviation   
1308,PW,Pacific Western Airlines (1981 - 1989),Pacific Western Airlines   
1309,PY,Surinam Airways Limited (1981 - ),Surinam Airways Limited   
1310,PZ,Lineas Aereas Paraguayas (1981 - 1995),Lineas Aereas Paraguayas   
1311,Q2,Zambia Airways Corp. (1988 - 1991),Zambia Airways Corp.   
1312,Q4,"Master Top Linhas Aereas, Ltda. (2007 - 2012)","Master Top Linhas Aereas, Ltda.   "
1313,Q5,40-Mile Air (2003 - ),Mile Air   
1314,Q7,Sobelair (1997 - 2001),Sobelair   
1315,Q7,SkyBahamas Airlines Ltd. (2012 - ),SkyBahamas Airlines Ltd.   
1316,QB,Inter-Quebec (Intair) (1981 - 1989),InterQuebec Intair   
1317,QD,Grand Airways Inc. (1995 - 1995),Grand Airways Inc.   
1318,QF,Qantas Airways Ltd. (1981 - ),Qantas Airways Ltd.   
1319,QG,Sky West Aviation Inc. (1979 - 1984),Sky West Aviation Inc.   
1320,QH,Air Florida Inc. (1979 - 1984),Air Florida Inc.   
1321,QK,Air Canada Regional (2001 - 2010),Air Canada Regional   
1322,QK,Aeromaritime (1990 - 1991),Aeromaritime   
1323,QK,Air Nova (1991 - 2000),Air Nova   
1324,QK,Jazz Aviation LP (2011 - ),Jazz Aviation LP   
1325,QN,Royal Air (1995 - 2001),Royal Air   
1326,QO,Aeromexpress (1995 - ),Aeromexpress   
1327,QOZ,Bar Harbor Airways (1960 - 2002),Bar Harbor Airways   
1328,QQ,Reno Air Inc. (1992 - 1999),Reno Air Inc.   
1329,QR,Qatar Airways (Q.C.S.C) (2007 - ),Qatar Airways Q.C.S.C   
1330,QS,Northeastern International Airways (1982 - 1985),Northeastern International Airways   
1331,QS,"Travel Service, a.s. (2009 - )","Travel Service, a.s.   "
1332,QT,Transportes Aereos Mercantiles Panamericanos S.A (1990 - ),Transportes Aereos Mercantiles Panamericanos S.A   
1333,QT,Pacific Interstate Airlines (1984 - 1989),Pacific Interstate Airlines   
1334,QTQ,Aer Turas Teoranta (1982 - 2003),Aer Turas Teoranta   
1335,QWE,Qwest Commuter (1988 - 2002),Qwest Commuter   
1336,QX,Horizon Air (1984 - ),Horizon Air   
1337,R2,Orenburg Airlines (2013 - ),Orenburg Airlines   
1338,R3,Air Company Yakutia (2012 - ),Air Company Yakutia   
1339,RAI,Trans States Airlines (1983 - 1991),Trans States Airlines   
1340,RAL,Royal-Air Ltd. (1960 - 2002),RoyalAir Ltd.   
1341,RAN,Pan Am Express (1960 - 1991),Pan Am Express   
1342,RAQ,Arista International Airlines Inc. (1982 - 1984),Arista International Airlines Inc.   
1343,RAY,Royale Airlines Inc. (1960 - 1990),Royale Airlines Inc.   
1344,RB,Syrian Arab Airlines (1981 - 1989),Syrian Arab Airlines   
1345,RC,Republic Airlines Inc. (1979 - 1986),Republic Airlines Inc.   
1346,RCA,Mid-South Aviation Inc. (1960 - 1979),MidSouth Aviation Inc.   
1347,RD,Airlift International Inc. (1960 - 1985),Airlift International Inc.   
1348,RD,Ryan International Airlines (2003 - 2012),Ryan International Airlines   
1349,RDR,Rader Aviation (1993 - 2002),Rader Aviation   
1350,RDW,Redwing Airways (1991 - 2002),Redwing Airways   
1351,REA,Realwest Airlines (1960 - 2002),Realwest Airlines   
1352,RED,Aerosun International Airlines Inc. (1960 - 2002),Aerosun International Airlines Inc.   
1353,REP,Republic Airlines (2005 - 2005),Republic Airlines   
1354,REQ,Renown Aviation (1995 - 2000),Renown Aviation   
1355,RES,Resort Airlines Inc. (1984 - 2001),Resort Airlines Inc.   
1356,REX,Express Airlines Inc. (1985 - 2002),Express Airlines Inc.   
1357,RG,Varig S. A. (1981 - ),Varig S. A.   
1358,RGQ,Regency Air (2003 - 2005),Regency Air   
1359,RHA,Royal Hawaiian Airways Inc. (1960 - 2002),Royal Hawaiian Airways Inc.   
1360,RI,Airpac Inc. (1984 - 1986),Airpac Inc.   
1361,RIA,Trump Air (1984 - 2002),Trump Air   
1362,RIC,Richardson Aviation (1960 - 2002),Richardson Aviation   
1363,RID,Indiana Airways Inc. (Reid (1960 - 2002),Indiana Airways Inc. Reid   
1364,RIO,Rio Airways Inc. (1960 - 2002),Rio Airways Inc.   
1365,RIQ,Rich International Airways (1979 - 1997),Rich International Airways   
1366,RIV,Riverside Air Service (1960 - 2002),Riverside Air Service   
1367,RJ,Alia-(The) Royal Jordanian (1981 - ),AliaThe Royal Jordanian   
1368,RJS,Michigan Airways Inc. (1960 - 2002),Michigan Airways Inc.   
1369,RK,Air Afrique (1981 - 2002),Air Afrique   
1370,RL,UltrAir (1993 - 1994),UltrAir   
1371,RL,Aerolineas Nicaraguenses (1990 - 1991),Aerolineas Nicaraguenses   
1372,RL,Airline Of The Americas (1992 - 1993),Airline Of The Americas   
1373,RLQ,Reliant Airlines (1998 - 2003),Reliant Airlines   
1374,RMH,Rocky Mountain Helicopters (1991 - 2002),Rocky Mountain Helicopters   
1375,RMV,Ram Aviation (1993 - 1993),Ram Aviation   
1376,RNQ,Mytravel Airways (2002 - 2008),Mytravel Airways   
1377,RNQ,Airtours International Airways (1993 - 2002),Airtours International Airways   
1378,RO,Tarom Romanian Air Transpor (1981 - ),Tarom Romanian Air Transpor   
1379,ROA,Royal West Airways Inc. (1981 - 1989),Royal West Airways Inc.   
1380,ROE,Roederer Aviation Inc. (1960 - 2002),Roederer Aviation Inc.   
1381,ROQ,Aero Uruguay (1981 - 1989),Aero Uruguay   
1382,ROS,Great Western Airlines Inc. (1981 - 1986),Great Western Airlines Inc.   
1383,ROY,Royal American Airways Inc. (1960 - 2002),Royal American Airways Inc.   
1384,RP,Chautauqua Airlines Inc. (2004 - 2014),Chautauqua Airlines Inc.   
1385,RRT,Air Freight Express (1981 - 1986),Air Freight Express   
1386,RS,Sky Regional Airlines Inc. (2011 - ),Sky Regional Airlines Inc.   
1387,RSC,Resort Commuter (1985 - 2002),Resort Commuter   
1388,RSQ,Aerotransportes Entre Rios (1981 - 1989),Aerotransportes Entre Rios   
1389,RSV,Air-Serve (2000 - 2002),AirServe   
1390,RTQ,Aerotour Dominicano Cxa (1992 - 1997),Aerotour Dominicano Cxa   
1391,RU,AirBridgeCargo Airlines Limited (2010 - ),AirBridgeCargo Airlines Limited   
1392,RU,ExpressJet Airlines Inc. (1995 - 2006),ExpressJet Airlines Inc.   
1393,RU,Britt Airways Inc. (1981 - 1987),Britt Airways Inc.   
1394,RV,Reeve Aleutian Airways Inc. (1960 - 2002),Reeve Aleutian Airways Inc.   
1395,RV,Air Canada rouge LP (2013 - ),Air Canada rouge LP   
1396,RVA,Reeves Air (1986 - 2002),Reeves Air   
1397,RVQ,"Reeve Air Alaska, LLC (2013 - )","Reeve Air Alaska, LLC   "
1398,RW,Republic Airlines (2006 - 2009),Republic Airlines   
1399,RWG,Air Rovers Inc. (1960 - 2002),Air Rovers Inc.   
1400,RY,Redcoat Air Cargo Limited (1981 - 1989),Redcoat Air Cargo Limited   
1401,RYA,Arctic Transportation (1983 - 2003),Arctic Transportation   
1402,RYQ,Ryan Aviation Corporation (1984 - 1986),Ryan Aviation Corporation   
1403,RYQ,Ryan International Airlines (1992 - 2003),Ryan International Airlines   
1404,RZZ,Aeromech Inc. (1960 - 1984),Aeromech Inc.   
1405,S3,"Santa Barbara Airlines, C.A (2007 - )","Santa Barbara Airlines, C.A   "
1406,S4,Sata Internacional (2003 - ),Sata Internacional   
1407,S5,Shuttle America Corp. (2005 - ),Shuttle America Corp.   
1408,S6,Star Air A/S (2008 - ),Star Air AS   
1409,S6,Mountain Bird/Salmon Air (2006 - 2007),Mountain BirdSalmon Air   
1410,SA,South African Airways (1981 - ),South African Airways   
1411,SAC,Sundorph Aeronautical Corp. (1983 - 2002),Sundorph Aeronautical Corp.   
1412,SAH,Sea Air Shuttle (1990 - 2002),Sea Air Shuttle   
1413,SAI,Seair Alaska Airlines Inc. (1960 - 1986),Seair Alaska Airlines Inc.   
1414,SAJ,Sajen Air Inc. (1960 - 2002),Sajen Air Inc.   
1415,SAL,Sallee's Aviation (1985 - 2002),Sallees Aviation   
1416,SAM,Samoan Airlines Inc. (1960 - 2002),Samoan Airlines Inc.   
1417,SAQ,Southern Air Transport Inc. (1980 - 1998),Southern Air Transport Inc.   
1418,SAS,Air Cortez International (1960 - 2002),Air Cortez International   
1419,SAX,Air Americana (1960 - 2002),Air Americana   
