,CARRIER,CARRIER_NAME,CNAME
1581,TNQ,Emery Worldwide Airlines (1990 - 2001),Emery Worldwide Airlines   
1582,TNS,Transtate Aviation (1960 - 2002),Transtate Aviation   
1583,TP,Tap-Portuguese Airlines (1981 - ),TapPortuguese Airlines   
1584,TPQ,Aerial Transit Company (1984 - 1994),Aerial Transit Company   
1585,TQA,Venture Travel LLC d/b/a Taquan Air Service (2000 - 2003),Venture Travel LLC dba Taquan Air Service   
1586,TQQ,Taca Peru (2001 - ),Taca Peru   
1587,TR,Transbrasil S.A. (1983 - 2001),Transbrasil S.A.   
1588,TRA,Aeromexico Travel (2008 - ),Aeromexico Travel   
1589,TRI,Great Plains Airlines Inc. (1960 - 2003),Great Plains Airlines Inc.   
1590,TRO,Air Molakai (1981 - 2002),Air Molakai   
1591,TRP,Trans Pennsylvania Airlines (1960 - 2002),Trans Pennsylvania Airlines   
1592,TRQ,Blue Scandinavia Ab (1996 - 1997),Blue Scandinavia Ab   
1593,TRQ,Transwede Airways Ab (1987 - 1996),Transwede Airways Ab   
1594,TRR,Territorial Airlines (1990 - 2002),Territorial Airlines   
1595,TS,Air Transat (1991 - ),Air Transat   
1596,TSA,Sierra Pacific Airlines (1960 - 1992),Sierra Pacific Airlines   
1597,TSF,American Central Airlines (1960 - 1985),American Central Airlines   
1598,TSI,Trans Sierra Airlines Inc. (1960 - 2002),Trans Sierra Airlines Inc.   
1599,TSQ,TPI International Airways (1990 - 1990),TPI International Airways   
1600,TTD,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service (1986 - 1995),Tatonduk Outfitters Limited dba Tatonduk Flying Service   
1601,TTM,The Time Machine (1982 - 2002),The Time Machine   
1602,TTQ,Canada 3000 Airlines Ltd. (1990 - 1996),Canada  Airlines Ltd.   
1603,TUL,Tulsair Beechcraft Inc. (1960 - 2002),Tulsair Beechcraft Inc.   
1604,TUR,Turner Aire (1985 - 2002),Turner Aire   
1605,TV,Transamerica Airlines Inc. (1979 - 1986),Transamerica Airlines Inc.   
1606,TV,Haiti Trans Air (1989 - 1996),Haiti Trans Air   
1607,TVL,Travelair (1990 - 2002),Travelair   
1608,TW,Trans World Airways LLC (2001 - 2001),Trans World Airways LLC   
1609,TW,Trans World Airlines Inc. (1960 - 2001),Trans World Airlines Inc.   
1610,TWA,Trans Western Airlines Utah (1960 - 1987),Trans Western Airlines Utah   
1611,TWE,Trans World Express (1991 - 2001),Trans World Express   
1612,TWQ,Air Transat (1988 - 1991),Air Transat   
1613,TX,Transportes Aereos Nacional (1981 - 1991),Transportes Aereos Nacional   
1614,TX,Soc.Nouvelle Air Guadeloupe (1998 - 2001),Soc.Nouvelle Air Guadeloupe   
1615,TXA,Texas National Airlines (1985 - 2002),Texas National Airlines   
1616,TXE,Trans Air (Hawaii) (1990 - 2002),Trans Air Hawaii   
1617,TXQ,British Caribbean Airways (1981 - 1989),British Caribbean Airways   
1618,TXY,Texas Airways (1995 - 2002),Texas Airways   
1619,TYE,Temsco Airlines (1960 - 2002),Temsco Airlines   
1620,TZ,ATA Airlines d/b/a ATA (2003 - 2008),ATA Airlines dba ATA   
1621,TZ,American Trans Air Inc. (1981 - 2003),American Trans Air Inc.   
1622,TZQ,First Choice Airways (2004 - ),First Choice Airways   
1623,TZQ,Air 2000 Limited (1988 - 2003),Air  Limited   
1624,U2,UFS Inc. (1993 - 2000),UFS Inc.   
1625,U5,USA 3000 Airlines (2003 - 2012),USA  Airlines   
1626,U7,USA Jet Airlines Inc. (1994 - ),USA Jet Airlines Inc.   
1627,UA,United Air Lines Inc. (1960 - ),United Air Lines Inc.   
1628,UAI,Universal Airways Inc. (1960 - 2002),Universal Airways Inc.   
1629,UC,Ladeco (1981 - 1996),Ladeco   
1630,UD,Fast Air Carrier Ltd. (1990 - 1998),Fast Air Carrier Ltd.   
1631,UH,US Helicopter Corporation (2006 - 2010),US Helicopter Corporation   
1632,UMQ,Air Manila Inc. (1981 - 1989),Air Manila Inc.   
1633,UN,Transaero Airlines (1996 - 2015),Transaero Airlines   
1634,UNQ,Overseas National Airways (1981 - 1985),Overseas National Airways   
1635,UO,Hong Kong Express Airways Limited (2016 - ),Hong Kong Express Airways Limited   
1636,UP,Bahamasair Holding Limited (1981 - ),Bahamasair Holding Limited   
1637,UR,Empire Airlines Inc. (1979 - 1986),Empire Airlines Inc.   
1638,URQ,Aero Uruguay (1992 - 2001),Aero Uruguay   
1639,US,USAir (1988 - 1997),USAir   
1640,US,US Airways Inc. (1997 - 2015),US Airways Inc.   
1641,USA,Air U.S. (1960 - 2002),Air U.S.   
1642,USQ,USA 3000 Airlines (2001 - 2003),USA  Airlines   
1643,UT,Union De Transports Aeriens (1981 - 1993),Union De Transports Aeriens   
1644,UTQ,Universal Airlines Inc. (1990 - 1992),Universal Airlines Inc.   
1645,UX,Air Illinois Inc. (1983 - 1984),Air Illinois Inc.   
1646,UX,Air Europa (1997 - ),Air Europa   
1647,UXQ,Air Europa (1988 - 1996),Air Europa   
1648,UYQ,Aerolineas Uruguayas S.A. (1993 - 2002),Aerolineas Uruguayas S.A.   
1649,V4,Vensecar International (2002 - ),Vensecar International   
1650,V5,J.D.Valenciana De Aviation (1993 - 1993),J.D.Valenciana De Aviation   
1651,V8,Iliamna Air Taxi (2003 - ),Iliamna Air Taxi   
1652,V9,Eagle Airlines (1993 - 1995),Eagle Airlines   
1653,VA,Virgin Blue International Airlines t/a V Australia (2009 - ),Virgin Blue International Airlines ta V Australia   
1654,VA,Venezuelan International Airways (1981 - 1997),Venezuelan International Airways   
1655,VAG,Vagabond Aviation Inc. (1960 - 2002),Vagabond Aviation Inc.   
1656,VAL,Vieques Air Link Inc. (1960 - 2002),Vieques Air Link Inc.   
1657,VAQ,Vacationair (1988 - 1989),Vacationair   
1658,VAS,Valley Air Services (1990 - 2002),Valley Air Services   
1659,VB,Pacific Express (1982 - 1984),Pacific Express   
1660,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus (2008 - )","Aeroenlaces Nacionales, S.A. de C.V. dba VivaAerobus   "
1661,VC,Servicios Avensa (1991 - 2002),Servicios Avensa   
1662,VCQ,Victory Air Transport Inc. (2004 - 2010),Victory Air Transport Inc.   
1663,VE,Aerovias Venezolanas-Avensa (1986 - 2002),Aerovias VenezolanasAvensa   
1664,VEE,PSA Airlines Inc. (1960 - 2004),PSA Airlines Inc.   
1665,VER,Britt Airlines Inc. (1960 - 2002),Britt Airlines Inc.   
1666,VEZ,Valdez Airlines (1960 - 1985),Valdez Airlines   
1667,VH,Aeropostal Alas De Venezuel (1998 - ),Aeropostal Alas De Venezuel   
1668,VI,Vieques Air Link Inc. (2002 - ),Vieques Air Link Inc.   
1669,VI,Volga-Dnepr Airlines (1994 - 2002),VolgaDnepr Airlines   
1670,VIA,Air St. Thomas (1960 - 2002),Air St. Thomas   
1671,VIG,Viking Express (1960 - 2002),Viking Express   
1672,VIN,Vale International Airlines (1960 - 2002),Vale International Airlines   
1673,VIQ,Viscount Air Service Inc. (1994 - 1996),Viscount Air Service Inc.   
1674,VIQ,Volga-Dnepr Airlines (2002 - ),VolgaDnepr Airlines   
1675,VIS,Virgin Islands Seaplane (1982 - 2002),Virgin Islands Seaplane   
1676,VJT,VistaJet Limited (2013 - ),VistaJet Limited   
1677,VK,Air Tungaru Corporation (1984 - 1991),Air Tungaru Corporation   
1678,VL,Mid-South Aviation Inc. (1979 - 1984),MidSouth Aviation Inc.   
1679,VLA,Village Aviation (1985 - 2004),Village Aviation   
1680,VLY,Valley Airlines (1960 - 2002),Valley Airlines   
1681,VOQ,Avalon Aviation Ltd. (1981 - 1989),Avalon Aviation Ltd.   
1682,VP,Viacao Aerea Sao Paulo (1986 - 2000),Viacao Aerea Sao Paulo   
1683,VPJ,Vintage Props & Jets Inc. (2002 - 2005),Vintage Props  Jets Inc.   
1684,VQ,Vintage Props & Jets Inc. (2006 - 2008),Vintage Props  Jets Inc.   
1685,VR,Transportes Aereos De Cabo (1987 - ),Transportes Aereos De Cabo   
1686,VS,Virgin Atlantic Airways (1984 - ),Virgin Atlantic Airways   
1687,VSA,VistaJet Luftfahrtunternehmen GmbH (2007 - ),VistaJet Luftfahrtunternehmen GmbH   
1688,VV,Aerosvit Ukranian Airlines (2003 - ),Aerosvit Ukranian Airlines   
1689,VV,Challenge Air Transport Inc. (1981 - 1986),Challenge Air Transport Inc.   
1690,VV,Challenge Air International Inc. (1986 - 1987),Challenge Air International Inc.   
1691,VW,Aeromar C. Por A. (1993 - 1994),Aeromar C. Por A.   
1692,VW,Transportes Aeromar S.A de C.V (2011 - ),Transportes Aeromar S.A de C.V   
1693,VX,Virgin America (2007 - ),Virgin America   
1694,VY,Highland Express Airways (1987 - 1989),Highland Express Airways   
1695,W3,Arik Air International (2009 - ),Arik Air International   
1696,W4,"Mn Aviation, Inc. (2004 - 2006)","Mn Aviation, Inc.   "
1697,W7,Western Pacific Airlines (1995 - 1998),Western Pacific Airlines   
1698,W8,Cargojet Logistics (2002 - 2003),Cargojet Logistics   
1699,W8,Cargojet Airways Ltd. (2003 - ),Cargojet Airways Ltd.   
1700,W9,Eastwind Airlines Inc. (1995 - 1999),Eastwind Airlines Inc.   
1701,WA,Western Air Lines Inc. (1960 - 1987),Western Air Lines Inc.   
1702,WA,Worldwide Airlines Services (1992 - 1995),Worldwide Airlines Services   
1703,WAC,Air East Airlines (1960 - 2002),Air East Airlines   
1704,WAI,Wise Airlines Inc. (1985 - 2002),Wise Airlines Inc.   
1705,WAL,Warbelow (2002 - 2003),Warbelow   
1706,WAP,Arrow Panama (2006 - ),Arrow Panama   
1707,WAQ,Air Charter Systems (Acs) (1987 - 2002),Air Charter Systems Acs   
1708,WAR,Waring Air (1983 - 2002),Waring Air   
1709,WAS,Wright Air Service (1986 - 2003),Wright Air Service   
1710,WAW,Westward Airways Inc. (2003 - 2005),Westward Airways Inc.   
1711,WC,Wien Air Alaska Inc. (1968 - 1984),Wien Air Alaska Inc.   
1712,WCA,Walker's International (1960 - 2002),Walkers International   
1713,WCI,Mountainwest Airlines (1960 - 2002),Mountainwest Airlines   
1714,WD,Halisa Air (1995 - 1997),Halisa Air   
1715,WDQ,Wardair Canada Inc. (1981 - 1989),Wardair Canada Inc.   
1716,WE,Centurion Cargo Inc. (2001 - ),Centurion Cargo Inc.   
1717,WEB,Southeast Alaska Airlines (1960 - 1985),Southeast Alaska Airlines   
1718,WEQ,Aero-Services-Corporate (2005 - ),AeroServicesCorporate   
1719,WES,Western Star Airlines Inc. (1960 - 2002),Western Star Airlines Inc.   
1720,WET,Western Charter Inc. (1960 - 2002),Western Charter Inc.   
1721,WFS,Wheeler Airlines (1960 - 2002),Wheeler Airlines   
1722,WFT,Westflight Aviation (1984 - 1997),Westflight Aviation   
1723,WG,Sunwing Airlines Inc. (2007 - ),Sunwing Airlines Inc.   
1724,WGL,Wrangell Air Service (1985 - 2002),Wrangell Air Service   
1725,WGQ,Gateway Aviation Limited (1981 - 1989),Gateway Aviation Limited   
1726,WI,Sky Lease Cargo (2012 - ),Sky Lease Cargo   
1727,WI,Tradewinds Airlines (1998 - 2011),Tradewinds Airlines   
1728,WIA,Wisc Air (1960 - 2002),Wisc Air   
1729,WIL,Will's Air (1960 - 2002),Wills Air   
1730,WIR,Williams Air Inc. (1981 - 2002),Williams Air Inc.   
1731,WIS,Air Wisconsin Inc. (1960 - 1978),Air Wisconsin Inc.   
1732,WL,World Air Network (1991 - 1995),World Air Network   
1733,WLB,Wilburs Inc. (1985 - 1991),Wilburs Inc.   
1734,WLH,Welch Aviation (1989 - 2002),Welch Aviation   
1735,WLQ,Worldwide Airlines Inc. (1984 - 1986),Worldwide Airlines Inc.   
1736,WM,Windward Islands Airways (1981 - 1989),Windward Islands Airways   
1737,WN,Southwest Airlines Co. (1979 - ),Southwest Airlines Co.   
1738,WNG,Wings Airways (1960 - 2002),Wings Airways   
1739,WNQ,Winair Inc. (1997 - 1998),Winair Inc.   
1740,WO,World Airways Inc. (1979 - 2014),World Airways Inc.   
1741,WOA,Wings Of Alaska (1983 - 2003),Wings Of Alaska   
1742,WOQ,Winnport Logistics (2000 - 2002),Winnport Logistics   
1743,WP,Aloha Island Air (2002 - 2006),Aloha Island Air   
1744,WP,Island Air Hawaii (2006 - ),Island Air Hawaii   
1745,WR,WestJet Encore Ltd. (2016 - ),WestJet Encore Ltd.   
1746,WRA,Wra Inc. (1988 - 2002),Wra Inc.   
1747,WRB,40-Mile Air (1960 - 2003),Mile Air   
1748,WRD,Ward Air (2001 - ),Ward Air   
1749,WRT,Wright Airlines Inc. (1960 - 1987),Wright Airlines Inc.   
1750,WS,Suncoast Airlines Inc. (1986 - 1988),Suncoast Airlines Inc.   
1751,WS,Westjet (2002 - ),Westjet   
1752,WSK,AAR Western Skyways (1985 - 2002),AAR Western Skyways   
1753,WST,West Isle Air (1990 - 2015),West Isle Air   
1754,WST,Friday Harbor Seaplanes (2016 - ),Friday Harbor Seaplanes   
1755,WSU,Mission Air (1981 - 2002),Mission Air   
1756,WT,Nigeria Airways Ltd. (1981 - 1995),Nigeria Airways Ltd.   
1757,WTA,Westates Airlines (1985 - 1987),Westates Airlines   
1758,WV,Air South Inc. (1994 - 1997),Air South Inc.   
1759,WV,"Air Greco, Inc., d/b/a Wings Air (2008 - 2009)","Air Greco, Inc., dba Wings Air   "
1760,WW,WOW Air ehf (2014 - ),WOW Air ehf   
1761,WWI,Wings West Airlines (1960 - 1998),Wings West Airlines   
1762,WWQ,Worldways Canada Ltd. (1985 - 1991),Worldways Canada Ltd.   
1763,X3,Hapag-Lloyd Express GmbH (2010 - 2010),HapagLloyd Express GmbH   
1764,X4,Air Excursions LLC (2010 - ),Air Excursions LLC   
1765,X9,Omni Air International LLC (2016 - ),Omni Air International LLC   
1766,X9,Omni Air Express (1993 - 2016),Omni Air Express   
1767,XAA,Aero Union Corp (1981 - 1986),Aero Union Corp   
1768,XAB,Air Polynesia d/b/a DHL Cargo (1982 - 1986),Air Polynesia dba DHL Cargo   
1769,XAC,Air Express International Airlines (1981 - 1986),Air Express International Airlines   
1770,XAE,Amerford Airways Inc. (1981 - 1989),Amerford Airways Inc.   
1771,XAF,Astro-Wing Airlines Inc. (1981 - 1989),AstroWing Airlines Inc.   
1772,XAG,Ball Brothers Inc. (1981 - 1989),Ball Brothers Inc.   
1773,XAH,Hawaii Pacific Air (1991 - 1994),Hawaii Pacific Air   
1774,XAI,Burlington Northern Inc. (1981 - 1989),Burlington Northern Inc.   
1775,XAJ,Central American International (1981 - 1986),Central American International   
1776,XAK,Century Airlines Inc. (1981 - 1989),Century Airlines Inc.   
1777,XAL,Challenge Air Transport Inc. (1981 - 1981),Challenge Air Transport Inc.   
1778,XAM,Cohlmia Aviation (1981 - 1988),Cohlmia Aviation   
1779,XAN,Conner Air Lines Inc. (1981 - 1986),Conner Air Lines Inc.   
1780,XAO,Dallas Flight Center (1981 - 1989),Dallas Flight Center   
1781,XAQ,Cam Air International Inc. (1981 - 1987),Cam Air International Inc.   
1782,XAR,Jet Way Inc. (1981 - 1989),Jet Way Inc.   
1783,XAS,Klondike Air Inc. (1981 - 1989),Klondike Air Inc.   
1784,XAT,Michigan Peninsula Airways (1981 - 1986),Michigan Peninsula Airways   
1785,XAU,Flight Line Inc. (1981 - 1993),Flight Line Inc.   
1786,XAW,Northern Air Cargo Inc. (1981 - 1982),Northern Air Cargo Inc.   
1787,XAY,Pat Air (1981 - 1989),Pat Air   
1788,XAZ,Purolator Sky Courier Inc. (1981 - 1987),Purolator Sky Courier Inc.   
1789,XBC,Jet East Inc. (1983 - 1989),Jet East Inc.   
1790,XBD,Trans Continental Airlines (1981 - 1988),Trans Continental Airlines   
1791,XBE,United Parcel Service (1981 - 1988),United Parcel Service   
1792,XBF,WTC Airlines (1981 - 1986),WTC Airlines   
1793,XBH,Profit Airlines Inc. (1981 - 1986),Profit Airlines Inc.   
1794,XBI,CF Air Freight (1981 - 1986),CF Air Freight   
1795,XBJ,International Air Service (1981 - 1986),International Air Service   
1796,XBL,Interstate Airlines Inc. (1981 - 1985),Interstate Airlines Inc.   
1797,XBM,Phh Air Inc. (1981 - 1989),Phh Air Inc.   
1798,XBP,Circle Airfreight Corp. (1981 - 1987),Circle Airfreight Corp.   
1799,XBQ,Aeronaves De Puerto Rico (1981 - 1986),Aeronaves De Puerto Rico   
1800,XBR,Allstates Air Cargo Inc. (1981 - 1986),Allstates Air Cargo Inc.   
1801,XBT,Pacific Alaska Airlines Inc. (1981 - 1987),Pacific Alaska Airlines Inc.   
1802,XBV,Nal Inc. (1981 - 1989),Nal Inc.   
1803,XBW,DHL Airways (1981 - 1992),DHL Airways   
1804,XBX,Icb International Airlines (1981 - 1987),Icb International Airlines   
1805,XBY,Wrangler Aviation Inc. (1981 - 1990),Wrangler Aviation Inc.   
1806,XBZ,Air Natl Aircraft Sal & Ser (1982 - 1989),Air Natl Aircraft Sal  Ser   
1807,XC,Air Caribbean (1997 - 2000),Air Caribbean   
1808,XCA,Hawkins And Powers Aviation (1983 - 1986),Hawkins And Powers Aviation   
1809,XDA,Pacific Air Express Inc. (1984 - 1988),Pacific Air Express Inc.   
1810,XDC,Hemisphere Air Charter (1986 - 1989),Hemisphere Air Charter   
1811,XDD,International Parcel Express Inc. (1986 - 1989),International Parcel Express Inc.   
1812,XDE,Air Train Inc. (1987 - 1989),Air Train Inc.   
1813,XDF,Salair Inc. (1987 - 1998),Salair Inc.   
1814,XDH,Kitty Hawk Air Cargo (1989 - 1993),Kitty Hawk Air Cargo   
1815,XE,ExpressJet Airlines Inc. (2006 - 2011),ExpressJet Airlines Inc.   
1816,XF,Vladivostok Air (2007 - 2014),Vladivostok Air   
1817,XG,North American Airlines (1990 - 2004),North American Airlines   
1818,XJ,Mesaba Airlines (1997 - 2011),Mesaba Airlines   
1819,XK,Air Hawaii (1985 - 1986),Air Hawaii   
1820,XK,Aerotal (1981 - 1989),Aerotal   
1821,XL,Pro Air Inc. (1997 - 1997),Pro Air Inc.   
1822,XL,Lan Ecuador (2003 - ),Lan Ecuador   
1823,XP,Casino Express (1992 - 2014),Casino Express   
1824,XP,XTRA Airways (2015 - ),XTRA Airways   
1825,XPA,Express Air d/b/a Sunrise (1998 - 2002),Express Air dba Sunrise   
1826,XPE,Amira Air GmbH (2007 - 2016),Amira Air GmbH   
1827,XPQ,International Cargo Xpress (1992 - 1994),International Cargo Xpress   
1828,XV,Presidential Airways Inc. (1985 - 1989),Presidential Airways Inc.   
1829,XY,Munz Northern Airlines Inc. (1960 - 1983),Munz Northern Airlines Inc.   
1830,XYZ,Airpac Inc. (1960 - 1997),Airpac Inc.   
1831,Y2,Globespan Airways Limited d/b/a Flyglobespan (2006 - ),Globespan Airways Limited dba Flyglobespan   
1832,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris) (2009 - ),Concesionaria Vuela Compania De Aviacion SA de CV Volaris   
1833,Y7,Flyjet Limited d/b/a Silverjet (2007 - ),Flyjet Limited dba Silverjet   
1834,Y8,Yangtze River Express Airlines Company (2006 - ),Yangtze River Express Airlines Company   
1835,YB,Trans Continental Airlines (1989 - 1992),Trans Continental Airlines   
1836,YBQ,Yellow Bird Air (1981 - 1989),Yellow Bird Air   
1837,YM,Royal West Airlines (1986 - 1988),Royal West Airlines   
1838,YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines (2008 - )","Grand Canyon Airlines, Inc. dba Grand Canyon Airlines dba Scenic Airlines   "
1839,YR,Eagle Canyon Airlines d/b/a Scenic Airlines (2002 - 2004),Eagle Canyon Airlines dba Scenic Airlines   
1840,YR,Scenic Airlines Inc. d/b/a Scenic Airlines (2005 - 2008),Scenic Airlines Inc. dba Scenic Airlines   
1841,YTU,Alaska Central Express (1988 - 2003),Alaska Central Express   
1842,YUT,Yute Air Aka Flight Alaska (2002 - 2003),Yute Air Aka Flight Alaska   
1843,YV,Mesa Airlines Inc. (1995 - ),Mesa Airlines Inc.   
1844,YX,"Midwest Airline, Inc. (2003 - 2009)","Midwest Airline, Inc.   "
1845,YX,Midwest Express Airlines (1984 - 2003),Midwest Express Airlines   
1846,YX,Republic Airlines (2009 - ),Republic Airlines   
1847,Z3,Promech (2003 - 2005),Promech   
1848,Z3,"PM Air, LLC (2005 - )","PM Air, LLC   "
1849,ZA,Accessair Holdings (1998 - 2002),Accessair Holdings   
1850,ZAQ,Zas Airline Of Egypt (1986 - 1995),Zas Airline Of Egypt   
1851,ZB,Monarch Airlines (1988 - ),Monarch Airlines   
1852,ZE,Lineas Aereas Azteca (2002 - 2007),Lineas Aereas Azteca   
1853,ZE,Eastar Jet Co Ltd. (2016 - ),Eastar Jet Co Ltd.   
1854,ZFZ,Mcphillips Flying Service (1960 - 2002),Mcphillips Flying Service   
1855,ZIA,Air New Mexico (1960 - 2002),Air New Mexico   
1856,ZK,Great Lakes Airlines (2006 - ),Great Lakes Airlines   
1857,ZK,Great Lakes Aviation Ltd. (2003 - 2006),Great Lakes Aviation Ltd.   
1858,ZKQ,Zantop International (1979 - 2005),Zantop International   
1859,ZL,Affretair (1991 - 1991),Affretair   
1860,ZMZ,Winnipesaukee Aviation Inc. (1960 - 2002),Winnipesaukee Aviation Inc.   
1861,ZN,Key Airlines Inc. (1992 - 1993),Key Airlines Inc.   
1862,ZO,Florida Express Inc. (1984 - 1989),Florida Express Inc.   
1863,ZP,Air St. Thomas (2002 - 2005),Air St. Thomas   
1864,ZQ,Caribbean Sun Airlines (2003 - 2010),Caribbean Sun Airlines   
1865,ZS,Hispaniola Airways (1992 - 1993),Hispaniola Airways   
1866,ZUQ,Zuliana De Aviacion (1990 - 1997),Zuliana De Aviacion   
1867,ZV,Air Midwest Inc. (1976 - 2008),Air Midwest Inc.   
1868,ZW,Air Wisconsin Inc. (1979 - 1993),Air Wisconsin Inc.   
1869,ZW,Air Wisconsin Airlines Corp (1994 - ),Air Wisconsin Airlines Corp   
1870,ZX,Airbc Ltd. (1990 - 2000),Airbc Ltd.   
1871,ZX,Air Georgian (2002 - ),Air Georgian   
1872,ZY,Atlantic Gulf Airlines (1985 - 1986),Atlantic Gulf Airlines   
1873,ZYZ,Skyway Aviation Inc. (1960 - 2002),Skyway Aviation Inc.   
